codigo,tipo_punto_acceso,capex_extra,opex_extra_anual
163,armario_calle,5000.0,0.0
164,armario_calle,5000.0,0.0
165,armario_calle,5000.0,0.0
166,armario_calle,5000.0,0.0
167,armario_calle,5000.0,0.0
168,armario_calle,5000.0,0.0
169,armario_calle,5000.0,0.0
170,armario_calle,5000.0,0.0
171,armario_calle,5000.0,0.0
172,armario_calle,5000.0,0.0
173,armario_calle,5000.0,0.0
174,armario_calle,5000.0,0.0
175,armario_calle,5000.0,0.0
176,armario_calle,5000.0,0.0
177,armario_calle,5000.0,0.0
178,armario_calle,5000.0,0.0
179,armario_calle,5000.0,0.0
180,armario_calle,5000.0,0.0
181,armario_calle,5000.0,0.0
182,armario_calle,5000.0,0.0
183,armario_calle,5000.0,0.0
184,armario_calle,5000.0,0.0
185,armario_calle,5000.0,0.0
186,armario_calle,5000.0,0.0
187,armario_calle,5000.0,0.0
188,armario_calle,5000.0,0.0
189,armario_calle,5000.0,0.0
190,armario_calle,5000.0,0.0
191,armario_calle,5000.0,0.0
192,armario_calle,5000.0,0.0
193,armario_calle,5000.0,0.0
194,armario_calle,5000.0,0.0
195,armario_calle,5000.0,0.0
196,armario_calle,5000.0,0.0
197,armario_calle,5000.0,0.0
198,armario_calle,5000.0,0.0
199,armario_calle,5000.0,0.0
200,armario_calle,5000.0,0.0
201,armario_calle,5000.0,0.0
202,armario_calle,5000.0,0.0
203,armario_calle,5000.0,0.0
204,armario_calle,5000.0,0.0
205,armario_calle,5000.0,0.0
206,armario_calle,5000.0,0.0
207,armario_calle,5000.0,0.0
208,armario_calle,5000.0,0.0
209,armario_calle,5000.0,0.0
210,armario_calle,5000.0,0.0
211,armario_calle,5000.0,0.0
212,armario_calle,5000.0,0.0
213,armario_calle,5000.0,0.0
214,armario_calle,5000.0,0.0
215,armario_calle,5000.0,0.0
216,armario_calle,5000.0,0.0
217,armario_calle,5000.0,0.0
218,armario_calle,5000.0,0.0
219,armario_calle,5000.0,0.0
220,armario_calle,5000.0,0.0
221,armario_calle,5000.0,0.0
222,armario_calle,5000.0,0.0
223,armario_calle,5000.0,0.0
224,armario_calle,5000.0,0.0
225,armario_calle,5000.0,0.0
226,armario_calle,5000.0,0.0
227,armario_calle,5000.0,0.0
228,armario_calle,5000.0,0.0
229,armario_calle,5000.0,0.0
230,armario_calle,5000.0,0.0
231,armario_calle,5000.0,0.0
232,armario_calle,5000.0,0.0
233,armario_calle,5000.0,0.0
234,armario_calle,5000.0,0.0
235,armario_calle,5000.0,0.0
236,armario_calle,5000.0,0.0
237,armario_calle,5000.0,0.0
238,armario_calle,5000.0,0.0
239,armario_calle,5000.0,0.0
240,armario_calle,5000.0,0.0
241,armario_calle,5000.0,0.0
242,armario_calle,5000.0,0.0
243,armario_calle,5000.0,0.0
244,armario_calle,5000.0,0.0
245,armario_calle,5000.0,0.0
246,armario_calle,5000.0,0.0
247,armario_calle,5000.0,0.0
248,armario_calle,5000.0,0.0
249,armario_calle,5000.0,0.0
250,armario_calle,5000.0,0.0
251,armario_calle,5000.0,0.0
252,armario_calle,5000.0,0.0
253,armario_calle,5000.0,0.0
254,armario_calle,5000.0,0.0
255,armario_calle,5000.0,0.0
256,armario_calle,5000.0,0.0
257,armario_calle,5000.0,0.0
258,armario_calle,5000.0,0.0
259,armario_calle,5000.0,0.0
260,armario_calle,5000.0,0.0
261,armario_calle,5000.0,0.0
262,armario_calle,5000.0,0.0
263,armario_calle,5000.0,0.0
264,armario_calle,5000.0,0.0
265,armario_calle,5000.0,0.0
266,armario_calle,5000.0,0.0
267,armario_calle,5000.0,0.0
268,armario_calle,5000.0,0.0
269,armario_calle,5000.0,0.0
270,armario_calle,5000.0,0.0
271,armario_calle,5000.0,0.0
272,armario_calle,5000.0,0.0
273,armario_calle,5000.0,0.0
274,armario_calle,5000.0,0.0
275,armario_calle,5000.0,0.0
276,armario_calle,5000.0,0.0
277,armario_calle,5000.0,0.0
278,armario_calle,5000.0,0.0
279,armario_calle,5000.0,0.0
280,armario_calle,5000.0,0.0
281,armario_calle,5000.0,0.0
282,armario_calle,5000.0,0.0
283,armario_calle,5000.0,0.0
284,armario_calle,5000.0,0.0
285,armario_calle,5000.0,0.0
286,armario_calle,5000.0,0.0
287,armario_calle,5000.0,0.0
288,armario_calle,5000.0,0.0
289,armario_calle,5000.0,0.0
290,armario_calle,5000.0,0.0
291,armario_calle,5000.0,0.0
292,armario_calle,5000.0,0.0
293,armario_calle,5000.0,0.0
294,armario_calle,5000.0,0.0
295,armario_calle,5000.0,0.0
296,armario_calle,5000.0,0.0
297,armario_calle,5000.0,0.0
298,armario_calle,5000.0,0.0
299,armario_calle,5000.0,0.0
300,armario_calle,5000.0,0.0
301,armario_calle,5000.0,0.0
302,armario_calle,5000.0,0.0
303,armario_calle,5000.0,0.0
304,armario_calle,5000.0,0.0
305,armario_calle,5000.0,0.0
306,armario_calle,5000.0,0.0
307,armario_calle,5000.0,0.0
308,armario_calle,5000.0,0.0
309,armario_calle,5000.0,0.0
310,armario_calle,5000.0,0.0
311,armario_calle,5000.0,0.0
312,armario_calle,5000.0,0.0
313,armario_calle,5000.0,0.0
314,armario_calle,5000.0,0.0
315,armario_calle,5000.0,0.0
316,armario_calle,5000.0,0.0
317,armario_calle,5000.0,0.0
318,armario_calle,5000.0,0.0
319,armario_calle,5000.0,0.0
320,armario_calle,5000.0,0.0
321,armario_calle,5000.0,0.0
322,armario_calle,5000.0,0.0
323,armario_calle,5000.0,0.0
324,armario_calle,5000.0,0.0
325,armario_calle,5000.0,0.0
326,armario_calle,5000.0,0.0
327,armario_calle,5000.0,0.0
328,armario_calle,5000.0,0.0
329,armario_calle,5000.0,0.0
330,armario_calle,5000.0,0.0
331,armario_calle,5000.0,0.0
332,armario_calle,5000.0,0.0
333,armario_calle,5000.0,0.0
334,armario_calle,5000.0,0.0
335,armario_calle,5000.0,0.0
336,armario_calle,5000.0,0.0
337,armario_calle,5000.0,0.0
338,armario_calle,5000.0,0.0
339,armario_calle,5000.0,0.0
340,armario_calle,5000.0,0.0
341,armario_calle,5000.0,0.0
342,armario_calle,5000.0,0.0
343,armario_calle,5000.0,0.0
344,armario_calle,5000.0,0.0
345,armario_calle,5000.0,0.0
346,armario_calle,5000.0,0.0
347,armario_calle,5000.0,0.0
348,armario_calle,5000.0,0.0
349,armario_calle,5000.0,0.0
350,armario_calle,5000.0,0.0
351,armario_calle,5000.0,0.0
352,armario_calle,5000.0,0.0
353,armario_calle,5000.0,0.0
354,armario_calle,5000.0,0.0
355,armario_calle,5000.0,0.0
356,armario_calle,5000.0,0.0
357,armario_calle,5000.0,0.0
358,armario_calle,5000.0,0.0
359,armario_calle,5000.0,0.0
360,armario_calle,5000.0,0.0
361,armario_calle,5000.0,0.0
362,armario_calle,5000.0,0.0
363,armario_calle,5000.0,0.0
364,armario_calle,5000.0,0.0
365,armario_calle,5000.0,0.0
366,armario_calle,5000.0,0.0
367,armario_calle,5000.0,0.0
368,armario_calle,5000.0,0.0
369,armario_calle,5000.0,0.0
370,armario_calle,5000.0,0.0
371,armario_calle,5000.0,0.0
372,armario_calle,5000.0,0.0
373,armario_calle,5000.0,0.0
374,armario_calle,5000.0,0.0
375,armario_calle,5000.0,0.0
376,armario_calle,5000.0,0.0
377,armario_calle,5000.0,0.0
378,armario_calle,5000.0,0.0
379,armario_calle,5000.0,0.0
380,armario_calle,5000.0,0.0
381,armario_calle,5000.0,0.0
382,armario_calle,5000.0,0.0
383,armario_calle,5000.0,0.0
384,armario_calle,5000.0,0.0
385,armario_calle,5000.0,0.0
386,armario_calle,5000.0,0.0
387,armario_calle,5000.0,0.0
388,armario_calle,5000.0,0.0
389,armario_calle,5000.0,0.0
390,armario_calle,5000.0,0.0
391,armario_calle,5000.0,0.0
392,armario_calle,5000.0,0.0
393,armario_calle,5000.0,0.0
394,armario_calle,5000.0,0.0
395,armario_calle,5000.0,0.0
396,armario_calle,5000.0,0.0
397,armario_calle,5000.0,0.0
398,armario_calle,5000.0,0.0
399,armario_calle,5000.0,0.0
400,armario_calle,5000.0,0.0
401,armario_calle,5000.0,0.0
402,armario_calle,5000.0,0.0
403,armario_calle,5000.0,0.0
404,armario_calle,5000.0,0.0
405,armario_calle,5000.0,0.0
406,armario_calle,5000.0,0.0
407,armario_calle,5000.0,0.0
408,armario_calle,5000.0,0.0
409,armario_calle,5000.0,0.0
410,armario_calle,5000.0,0.0
411,armario_calle,5000.0,0.0
412,armario_calle,5000.0,0.0
413,armario_calle,5000.0,0.0
414,armario_calle,5000.0,0.0
415,armario_calle,5000.0,0.0
416,armario_calle,5000.0,0.0
417,armario_calle,5000.0,0.0
418,armario_calle,5000.0,0.0
419,armario_calle,5000.0,0.0
420,armario_calle,5000.0,0.0
421,armario_calle,5000.0,0.0
422,armario_calle,5000.0,0.0
423,armario_calle,5000.0,0.0
424,armario_calle,5000.0,0.0
425,armario_calle,5000.0,0.0
426,armario_calle,5000.0,0.0
427,armario_calle,5000.0,0.0
428,armario_calle,5000.0,0.0
